Iteration	parent	child	p-val
185	19254.0	19244.0	8.01431749591e-09
186	19357.0	19243.0	5.12153307135e-94
187	19350.0	19242.0	1.68227255618e-88
188	19305.0	19241.0	1.6273495368e-19
189	19258.0	19240.0	2.63549319454e-91
190	19304.0	19239.0	7.01845356234e-59
191	19335.0	19238.0	3.15417842877e-08
192	19285.0	19237.0	5.93344274147e-13
193	19280.0	19236.0	0.000535862853134
194	19282.0	19235.0	9.37424532595e-48
195	19249.0	19234.0	2.10504071694e-64
196	19298.0	19233.0	4.22114487193e-52
197	19398.0	19232.0	0.0
198	19323.0	19231.0	6.69921886024e-44
199	19348.0	19230.0	4.82262096908e-72
200	19275.0	19229.0	2.38183299621e-51
201	19328.0	19228.0	1.7276502358e-86
202	19330.0	19227.0	6.73658021184e-122
203	19322.0	19226.0	1.07039584211e-102
204	19268.0	19225.0	7.99229465685e-111
205	19343.0	19224.0	3.38692650522e-63
206	19308.0	19223.0	4.39426943415e-101
207	19292.0	19222.0	1.97681355198e-67
208	19387.0	19221.0	2.53564578614e-232
209	19358.0	19220.0	1.67236850849e-34
210	19271.0	19219.0	0.00030117159619
211	19301.0	19218.0	1.0405439033e-60
212	19318.0	19217.0	1.59241240676e-55
213	19290.0	19216.0	6.21567248923e-36
214	19364.0	19215.0	2.86938455496e-59
215	19315.0	19214.0	8.44771790965e-09
216	19270.0	19213.0	9.65813831215e-09
217	19371.0	19212.0	1.18904662971e-64
218	19324.0	19211.0	4.35285431491e-229
219	19287.0	19210.0	4.52860469825e-106
220	19365.0	19209.0	2.60553939738e-36
221	19325.0	19208.0	4.42615747347e-81
222	19319.0	19207.0	9.74858874724e-95
223	19351.0	19206.0	3.071933869e-253
224	19349.0	19205.0	0.0
225	19312.0	19204.0	5.46600513811e-100
226	19338.0	19203.0	4.48323063681e-95
227	19341.0	19202.0	2.95632028597e-30
228	19342.0	19201.0	3.6880436077e-24
229	19238.0	19200.0	1.97698721677e-10
230	19291.0	19199.0	1.06195757639e-114
231	19302.0	19198.0	0.00126307889121
232	19291.0	19197.0	6.8109064295e-28
233	19303.0	19196.0	3.26349515709e-80
234	19265.0	19195.0	2.82050470266e-65
235	19336.0	19194.0	3.27365988066e-28
236	19282.0	19193.0	8.55565620651e-71
237	19278.0	19192.0	7.68208726368e-21
238	19344.0	19191.0	2.07169661737e-129
239	19316.0	19190.0	1.18315722015e-67
240	19301.0	19189.0	3.67769181763e-64
241	19235.0	19188.0	3.00201039736e-68
242	19268.0	19187.0	2.8224595347e-33
243	19220.0	19186.0	0.000808095657817
244	19277.0	19185.0	0.0096760213357
245	19245.0	19184.0	7.3297905403e-12
246	19219.0	19183.0	3.62151316451e-09
247	19250.0	19182.0	1.6578227134e-12
248	19296.0	19181.0	1.96956272973e-33
249	19272.0	19180.0	1.10557820243e-08
250	19297.0	19179.0	2.27562996795e-16
251	19224.0	19178.0	0.020707935156
252	19323.0	19177.0	7.04470528609e-81
253	19305.0	19176.0	1.15577915541e-151
254	19331.0	19175.0	8.74600802009e-151
255	19327.0	19174.0	1.99412465217e-17
256	19202.0	19173.0	9.87403218765e-152
257	19262.0	19172.0	4.71490276052e-41
258	19247.0	19171.0	1.01826577199e-117
259	19340.0	19170.0	5.21145035796e-220
260	19321.0	19169.0	1.82918574127e-162
261	19261.0	19168.0	0.0107847758031
262	19249.0	19167.0	5.89313764648e-33
263	19248.0	19166.0	2.02462625034e-80
264	19334.0	19165.0	4.98641562029e-28
265	19284.0	19164.0	1.06118746193e-14
266	19246.0	19163.0	7.58340822511e-13
267	19212.0	19162.0	4.64228654979e-09
268	19215.0	19161.0	3.20638357692e-29
269	19310.0	19160.0	2.13735514693e-124
270	19237.0	19159.0	4.72434967607e-99
271	19320.0	19158.0	1.81102369101e-11
272	19313.0	19157.0	6.70239495385e-63
273	19223.0	19156.0	9.00726528126e-11
274	19306.0	19155.0	1.07991503943e-111
275	19328.0	19154.0	1.86309634195e-27
276	19377.0	19153.0	4.58665258714e-78
277	19251.0	19152.0	3.79715620617e-127
278	19375.0	19151.0	6.5373646003e-29
279	19292.0	19150.0	3.85848116222e-51
280	19184.0	19149.0	6.39340208107e-11
281	19295.0	19148.0	5.0107456701e-39
282	19276.0	19147.0	1.1111875584e-175
283	19310.0	19146.0	2.02299197703e-28
284	19194.0	19145.0	2.48854601411e-71
285	19274.0	19144.0	1.77203423878e-08
286	19236.0	19143.0	1.47753666206e-12
287	19241.0	19142.0	1.06534616007e-12
288	19311.0	19141.0	3.39119625934e-07
289	19202.0	19140.0	1.10776905369e-21
290	19289.0	19139.0	9.64676705033e-92
291	19266.0	19138.0	6.92741059613e-63
292	19244.0	19137.0	2.30539083021e-10
293	19289.0	19136.0	4.64800821057e-40
294	19302.0	19135.0	9.88131291682e-324
295	19290.0	19134.0	3.96515137467e-60
296	19276.0	19133.0	6.36365601915e-12
297	19279.0	19132.0	1.88129797907e-36
298	19192.0	19131.0	2.16517023459e-07
299	19183.0	19130.0	6.70292659919e-52
300	19197.0	19129.0	4.05305954647e-12
301	19243.0	19128.0	1.49084903909e-10
302	19258.0	19127.0	3.70058477192e-43
303	19286.0	19126.0	1.29595650015e-06
304	19185.0	19125.0	2.69419274252e-26
305	19288.0	19124.0	1.20147686313e-94
306	19165.0	19123.0	6.29757513054e-21
307	19313.0	19122.0	6.85883848056e-50
308	19303.0	19121.0	2.4414808363e-45
309	19265.0	19120.0	2.18180874495e-49
310	19283.0	19119.0	3.74217648739e-19
311	19218.0	19118.0	2.09310014001e-09
312	19326.0	19117.0	2.61279090419e-47
313	19333.0	19116.0	0.0
314	19309.0	19115.0	6.01802902915e-107
315	19281.0	19114.0	2.33226738219e-10
316	19198.0	19113.0	7.98427551201e-15
317	19179.0	19112.0	2.45440777165e-33
318	19304.0	19111.0	4.05687039152e-54
319	19217.0	19110.0	6.93530562508e-57
320	19298.0	19109.0	9.73744457969e-67
321	19314.0	19108.0	1.32810873203e-317
322	19263.0	19107.0	1.169112413e-124
323	19300.0	19106.0	1.58357227101e-48
324	19153.0	19105.0	1.74916778964e-07
325	19269.0	19104.0	3.76008112175e-15
326	19264.0	19103.0	3.62207990533e-16
327	19221.0	19102.0	2.68272292033e-06
328	19240.0	19101.0	2.21206834062e-08
329	19151.0	19100.0	2.0954768564e-22
330	19287.0	19099.0	1.3280956486e-35
331	19233.0	19098.0	2.52480253435e-08
332	19189.0	19097.0	5.77700296028e-13
333	19253.0	19096.0	0.0109372922773
334	19214.0	19095.0	0.0
335	19229.0	19094.0	3.10585339393e-14
336	19205.0	19093.0	4.45994774849e-08
337	19208.0	19092.0	6.70933136561e-41
338	19204.0	19091.0	2.25219420345e-15
339	19327.0	19090.0	6.43733151331e-172
340	19231.0	19089.0	1.31024238798e-20
341	19168.0	19088.0	8.66828106736e-39
342	19281.0	19087.0	1.18085248487e-236
343	19164.0	19086.0	2.47084314616e-73
344	19293.0	19085.0	9.14761068383e-80
345	19329.0	19084.0	3.15287224417e-125
346	19230.0	19083.0	3.36864001547e-12
347	19362.0	19082.0	3.74092765273e-153
348	19117.0	19081.0	1.13343433328e-31
349	19250.0	19080.0	9.51924732422e-186
350	19126.0	19079.0	4.35605277854e-23
351	19326.0	19078.0	5.69949397469e-84
352	19356.0	19077.0	3.1886281771e-48
353	19317.0	19076.0	8.75362144706e-54
354	19182.0	19075.0	6.53462578807e-23
355	19163.0	19074.0	5.94171330287e-41
356	19175.0	19073.0	2.01828074776e-78
357	19378.0	19072.0	4.72574065304e-216
358	19222.0	19071.0	2.07991565558e-54
359	19209.0	19070.0	7.95050750332e-30
360	19244.0	19069.0	5.19273187582e-207
361	19169.0	19068.0	2.93272632304e-12
362	19226.0	19067.0	1.14381490558e-21
363	19100.0	19066.0	4.15487552785e-174
364	19187.0	19065.0	1.32134920666e-73
365	19300.0	19064.0	5.72635016079e-76
366	19101.0	19063.0	2.2503397568e-51
367	19241.0	19062.0	8.57168176683e-177
368	19184.0	19061.0	2.94194103232e-167
369	19203.0	19060.0	2.31389661736e-09
370	19293.0	19059.0	7.8183185272e-50
371	19284.0	19058.0	2.60541932867e-193
372	19347.0	19057.0	2.14547979298e-138
373	19257.0	19056.0	1.1889812883e-34
374	19161.0	19055.0	2.94877797862e-90
375	19259.0	19054.0	2.65083735201e-12
376	19180.0	19053.0	2.82643659765e-12
377	19255.0	19052.0	6.32179996957e-21
378	19269.0	19051.0	7.57708434103e-63
379	19247.0	19050.0	2.15775068822e-31
380	19262.0	19049.0	1.00748115496e-93
381	19256.0	19048.0	2.00077657188e-14
382	19213.0	19047.0	3.21428837988e-73
383	19337.0	19046.0	1.44572128029e-42
384	19150.0	19045.0	5.47623842288e-62
385	19214.0	19044.0	0.00686976017887
386	19122.0	19043.0	2.73987209369e-87
387	19085.0	19042.0	2.69876627488e-29
388	19294.0	19041.0	3.15974003194e-191
389	19201.0	19040.0	0.00285041378826
390	19263.0	19039.0	2.48611367766e-15
391	19227.0	19038.0	6.66451548942e-13
392	19148.0	19037.0	1.60858680151e-43
393	19336.0	19036.0	3.83523726317e-84
394	19118.0	19035.0	2.09628959035e-16
395	19228.0	19034.0	6.4827226848e-07
396	19173.0	19033.0	0.367778907301
397	19248.0	19032.0	1.84139408537e-50
398	19039.0	19031.0	3.5326982883e-59
399	19115.0	19030.0	2.53544974832e-06
400	19275.0	19029.0	1.4995008748e-63
401	19235.0	19028.0	5.63543903876e-40
402	19143.0	19027.0	7.29938581881e-15
403	19185.0	19026.0	8.66216305377e-126
404	19260.0	19025.0	0.0
405	19162.0	19024.0	2.90316492777e-34
406	19239.0	19023.0	3.48956745668e-13
407	19279.0	19022.0	3.94855993831e-64
408	19186.0	19021.0	1.57217935262e-77
409	19183.0	19020.0	2.61173348032e-37
410	19187.0	19019.0	1.52808233199e-49
411	19296.0	19018.0	1.35181792715e-96
412	19242.0	19017.0	3.50426723658e-85
413	19076.0	19016.0	1.47753666206e-12
414	19251.0	19015.0	1.39902999162e-24
415	19224.0	19014.0	0.0
416	19165.0	19013.0	2.85630643933e-152
417	19186.0	19012.0	1.77413776196e-37
418	19136.0	19011.0	0.000146146608122
419	19237.0	19010.0	4.18548477609e-25
420	19178.0	19009.0	1.8366488548e-16
421	19266.0	19008.0	1.9631000283e-61
422	19309.0	19007.0	1.15398515035e-35
423	19242.0	19006.0	1.80819082524e-41
424	19163.0	19005.0	2.11343358732e-81
425	19245.0	19004.0	6.20314824874e-207
426	19190.0	19003.0	9.59029665652e-62
427	19158.0	19002.0	7.29938581881e-15
428	19040.0	19001.0	2.87703382432e-58
429	19145.0	19000.0	1.18254173596e-56
430	19259.0	18999.0	4.89948402095e-204
431	19270.0	18998.0	7.22160323678e-254
432	19069.0	18997.0	1.15707672731e-07
433	19191.0	18996.0	1.14381490558e-21
434	19252.0	18995.0	6.54594302998e-26
435	19210.0	18994.0	3.70238077819e-77
436	19211.0	18993.0	2.127744557e-82
437	19222.0	18992.0	9.54413551211e-29
438	19198.0	18991.0	1.25064383974e-159
439	19083.0	18990.0	1.53472341538e-33
440	19307.0	18989.0	0.0
441	19221.0	18988.0	6.63093424372e-299
442	19231.0	18987.0	7.93108852907e-143
443	19127.0	18986.0	0.00223635629012
444	19049.0	18985.0	8.08254006835e-30
445	19172.0	18984.0	9.69529100457e-05
446	19162.0	18983.0	4.50885116079e-81
447	19150.0	18982.0	5.47623842288e-62
448	19044.0	18981.0	0.0337434140104
449	19041.0	18980.0	0.000981441675541
450	19177.0	18979.0	1.36720745756e-23
451	19257.0	18978.0	6.8493621293e-106
452	19211.0	18977.0	1.17840105442e-46
453	19050.0	18976.0	0.134612639811
454	19220.0	18975.0	1.36947717909e-313
455	19288.0	18974.0	4.26946044456e-14
456	19174.0	18973.0	7.13158613035e-15
457	19195.0	18972.0	2.2165549026e-19
458	19209.0	18971.0	1.81886778111e-103
459	19007.0	18970.0	3.98392279303e-126
460	19164.0	18969.0	1.16466899458e-53
461	19106.0	18968.0	1.60386501331e-12
462	19047.0	18967.0	3.58075492228e-09
463	19060.0	18966.0	2.29760087228e-11
464	19252.0	18965.0	9.33535046149e-75
465	19103.0	18964.0	9.83962453057e-08
