	n	dtp	twp	score
835	8	0.7	0.75	-90240432.0445
965	9	0.45	0.75	-90240559.0963
845	8	0.75	0.75	-90240857.0577
975	9	0.5	0.75	-90241072.6172
855	8	0.8	0.75	-90241279.9449
985	9	0.55	0.75	-90241580.7754
1104	10	0.25	0.7	-90241608.3226
865	8	0.85	0.75	-90241700.816
995	9	0.6	0.75	-90242084.0951
875	8	0.9	0.75	-90242119.7725
1005	9	0.65	0.75	-90242583.1414
1114	10	0.3	0.7	-90242793.1496
1015	9	0.7	0.75	-90243078.1885
1025	9	0.75	0.75	-90243569.4344
1124	10	0.35	0.7	-90243860.1499
1035	9	0.8	0.75	-90244057.046
1045	9	0.85	0.75	-90244541.2247
1134	10	0.4	0.7	-90244829.9411
1055	9	0.9	0.75	-90245022.199
1144	10	0.45	0.7	-90245708.031
1154	10	0.5	0.7	-90246501.3043
1164	10	0.55	0.7	-90247259.5744
1174	10	0.6	0.7	-90248017.3142
1184	10	0.65	0.7	-90248783.4577
1194	10	0.7	0.7	-90249558.7395
1204	10	0.75	0.7	-90250341.4913
1214	10	0.8	0.7	-90251129.5764
1224	10	0.85	0.7	-90251921.2978
1234	10	0.9	0.7	-90252715.0979
1065	10	0.05	0.75	-90261248.0814
1075	10	0.1	0.75	-90263351.8859
1085	10	0.15	0.75	-90265636.3793
1095	10	0.2	0.75	-90267982.7172
1105	10	0.25	0.75	-90270286.1716
1115	10	0.3	0.75	-90272363.2496
1125	10	0.35	0.75	-90274160.5986
1135	10	0.4	0.75	-90275714.5142
1145	10	0.45	0.75	-90277028.307
1155	10	0.5	0.75	-90278112.2473
706	8	0.05	0.8	-90278914.2237
716	8	0.1	0.8	-90279063.111
1165	10	0.55	0.75	-90279110.4391
726	8	0.15	0.8	-90279430.6302
736	8	0.2	0.8	-90279876.6255
1175	10	0.6	0.75	-90280119.6947
746	8	0.25	0.8	-90280339.4716
756	8	0.3	0.8	-90280799.992
1185	10	0.65	0.75	-90281164.7644
766	8	0.35	0.8	-90281280.2492
776	8	0.4	0.8	-90281748.0215
886	9	0.05	0.8	-90281790.8388
896	9	0.1	0.8	-90282036.6498
786	8	0.45	0.8	-90282205.3284
1195	10	0.7	0.75	-90282247.2107
906	9	0.15	0.8	-90282500.0096
796	8	0.5	0.8	-90282656.831
916	9	0.2	0.8	-90283024.1194
806	8	0.55	0.8	-90283103.0344
1205	10	0.75	0.75	-90283362.0849
816	8	0.6	0.8	-90283545.3046
926	9	0.25	0.8	-90283584.8446
826	8	0.65	0.8	-90283984.5375
936	9	0.3	0.8	-90284117.9809
836	8	0.7	0.8	-90284421.1621
1215	10	0.8	0.75	-90284502.7832
946	9	0.35	0.8	-90284651.6771
846	8	0.75	0.8	-90284855.4424
956	9	0.4	0.8	-90285194.2235
856	8	0.8	0.8	-90285287.5641
1225	10	0.85	0.75	-90285664.0937
866	8	0.85	0.8	-90285717.6311
966	9	0.45	0.8	-90285730.8865
876	8	0.9	0.8	-90286145.7569
976	9	0.5	0.8	-90286262.6315
986	9	0.55	0.8	-90286788.8651
1235	10	0.9	0.75	-90286840.8881
996	9	0.6	0.8	-90287310.1646
1006	9	0.65	0.8	-90287827.1076
1016	9	0.7	0.8	-90288339.9599
1026	9	0.75	0.8	-90288848.8911
1036	9	0.8	0.8	-90289354.1694
1046	9	0.85	0.8	-90289855.9518
1056	9	0.9	0.8	-90290354.4725
1066	10	0.05	0.8	-90291602.6592
1076	10	0.1	0.8	-90292262.2346
1086	10	0.15	0.8	-90293160.7586
1096	10	0.2	0.8	-90294159.4342
1106	10	0.25	0.8	-90295224.2728
1116	10	0.3	0.8	-90296275.5371
1126	10	0.35	0.8	-90297289.1958
1136	10	0.4	0.8	-90298247.8369
1146	10	0.45	0.8	-90299138.4913
1156	10	0.5	0.8	-90299951.3739
1166	10	0.55	0.8	-90300732.654
1176	10	0.6	0.8	-90301519.6986
1186	10	0.65	0.8	-90302324.4773
1196	10	0.7	0.8	-90303150.3876
1206	10	0.75	0.8	-90303998.106
1216	10	0.8	0.8	-90304867.6802
1226	10	0.85	0.8	-90305759.5442
1236	10	0.9	0.8	-90306674.1001
707	8	0.05	0.85	-90322272.4257
717	8	0.1	0.85	-90322432.5082
727	8	0.15	0.85	-90322809.4251
737	8	0.2	0.85	-90323262.734
747	8	0.25	0.85	-90323733.598
757	8	0.3	0.85	-90324204.055
767	8	0.35	0.85	-90324687.2363
777	8	0.4	0.85	-90325166.9257
787	8	0.45	0.85	-90325631.8435
797	8	0.5	0.85	-90326091.2304
887	9	0.05	0.85	-90326269.3274
897	9	0.1	0.85	-90326534.9145
807	8	0.55	0.85	-90326545.2052
817	8	0.6	0.85	-90326995.1688
907	9	0.15	0.85	-90327017.6609
827	8	0.65	0.85	-90327441.9907
917	9	0.2	0.85	-90327558.1917
837	8	0.7	0.85	-90327886.1312
927	9	0.25	0.85	-90328115.1631
847	8	0.75	0.85	-90328327.86
937	9	0.3	0.85	-90328679.6985
857	8	0.8	0.85	-90328767.3687
867	8	0.85	0.85	-90329204.7731
947	9	0.35	0.85	-90329228.4094
877	8	0.9	0.85	-90329640.1793
957	9	0.4	0.85	-90329786.8928
967	9	0.45	0.85	-90330338.778
977	9	0.5	0.85	-90330885.1358
987	9	0.55	0.85	-90331425.712
997	9	0.6	0.85	-90331961.2101
1007	9	0.65	0.85	-90332492.1906
1017	9	0.7	0.85	-90333018.9188
1027	9	0.75	0.85	-90333541.6459
1037	9	0.8	0.85	-90334060.6114
1047	9	0.85	0.85	-90334576.0023
1057	9	0.9	0.85	-90335088.0293
1067	10	0.05	0.85	-90340679.4195
1077	10	0.1	0.85	-90341144.7817
1087	10	0.15	0.85	-90341825.9609
1097	10	0.2	0.85	-90342552.4207
1107	10	0.25	0.85	-90343309.5586
1117	10	0.3	0.85	-90344062.9144
1127	10	0.35	0.85	-90344803.6757
1137	10	0.4	0.85	-90345524.4926
1147	10	0.45	0.85	-90346226.1715
1157	10	0.5	0.85	-90346910.3132
1167	10	0.55	0.85	-90347583.326
1177	10	0.6	0.85	-90348251.6374
1187	10	0.65	0.85	-90348917.594
1197	10	0.7	0.85	-90349581.9657
1207	10	0.75	0.85	-90350244.8672
1217	10	0.8	0.85	-90350906.2797
1227	10	0.85	0.85	-90351566.2118
1237	10	0.9	0.85	-90352224.6799
708	8	0.05	0.9	-90365126.9776
718	8	0.1	0.9	-90365306.3296
728	8	0.15	0.9	-90365687.9134
738	8	0.2	0.9	-90366147.0231
748	8	0.25	0.9	-90366625.4933
758	8	0.3	0.9	-90367103.3729
768	8	0.35	0.9	-90367593.2374
778	8	0.4	0.9	-90368078.2148
788	8	0.45	0.9	-90368549.4657
798	8	0.5	0.9	-90369015.0039
808	8	0.55	0.9	-90369474.9848
818	8	0.6	0.9	-90369930.8487
888	9	0.05	0.9	-90370206.9811
828	8	0.65	0.9	-90370383.4635
898	9	0.1	0.9	-90370492.3901
838	8	0.7	0.9	-90370833.3185
908	9	0.15	0.9	-90370986.8762
848	8	0.75	0.9	-90371280.6911
918	9	0.2	0.9	-90371538.9004
858	8	0.8	0.9	-90371725.7916
928	9	0.25	0.9	-90372105.4149
868	8	0.85	0.9	-90372168.7288
878	8	0.9	0.9	-90372609.6102
938	9	0.3	0.9	-90372688.2681
948	9	0.35	0.9	-90373249.3384
958	9	0.4	0.9	-90373819.2184
968	9	0.45	0.9	-90374382.7711
978	9	0.5	0.9	-90374940.1743
988	9	0.55	0.9	-90375491.5643
998	9	0.6	0.9	-90376037.7046
1008	9	0.65	0.9	-90376579.115
1018	9	0.7	0.9	-90377116.1593
1028	9	0.75	0.9	-90377649.1059
1038	9	0.8	0.9	-90378178.1936
1048	9	0.85	0.9	-90378703.6005
1058	9	0.9	0.9	-90379225.5538
1068	10	0.05	0.9	-90390763.0674
1078	10	0.1	0.9	-90391221.1935
1088	10	0.15	0.9	-90391878.7954
1098	10	0.2	0.9	-90392591.5887
1108	10	0.25	0.9	-90393326.4178
1118	10	0.3	0.9	-90394063.9298
1128	10	0.35	0.9	-90394794.4701
1138	10	0.4	0.9	-90395507.8317
1148	10	0.45	0.9	-90396205.5535
1158	10	0.5	0.9	-90396889.0713
1168	10	0.55	0.9	-90397562.4439
1178	10	0.6	0.9	-90398230.2864
1188	10	0.65	0.9	-90398894.4885
1198	10	0.7	0.9	-90399555.8078
1208	10	0.75	0.9	-90400214.4059
1218	10	0.8	0.9	-90400870.3568
1228	10	0.85	0.9	-90401523.7177
1238	10	0.9	0.9	-90402174.5436
709	8	0.05	0.95	-90407499.9139
719	8	0.1	0.95	-90407682.2539
729	8	0.15	0.95	-90408069.78
739	8	0.2	0.95	-90408532.7046
749	8	0.25	0.95	-90409017.2273
759	8	0.3	0.95	-90409500.6011
769	8	0.35	0.95	-90409995.0542
779	8	0.4	0.95	-90410485.5848
789	8	0.45	0.95	-90410961.598
799	8	0.5	0.95	-90411431.6511
809	8	0.55	0.95	-90411896.0157
819	8	0.6	0.95	-90412356.1532
829	8	0.65	0.95	-90412812.9576
839	8	0.7	0.95	-90413266.9328
889	9	0.05	0.95	-90413607.2627
849	8	0.75	0.95	-90413718.3687
899	9	0.1	0.95	-90413910.1431
859	8	0.8	0.95	-90414167.4677
909	9	0.15	0.95	-90414413.0845
869	8	0.85	0.95	-90414614.3601
919	9	0.2	0.95	-90414969.4874
879	8	0.9	0.95	-90415059.158
929	9	0.25	0.95	-90415550.0896
939	9	0.3	0.95	-90416138.5758
949	9	0.35	0.95	-90416716.298
959	9	0.4	0.95	-90417294.7553
969	9	0.45	0.95	-90417866.4138
979	9	0.5	0.95	-90418431.7166
989	9	0.55	0.95	-90418990.8825
999	9	0.6	0.95	-90419544.5873
1009	9	0.65	0.95	-90420093.432
1019	9	0.7	0.95	-90420637.7932
1029	9	0.75	0.95	-90421177.9672
1039	9	0.8	0.95	-90421714.2033
1049	9	0.85	0.95	-90422246.7007
1059	9	0.9	0.95	-90422775.6608
1069	10	0.05	0.95	-90440822.2338
1079	10	0.1	0.95	-90441249.9971
1089	10	0.15	0.95	-90441905.5636
1099	10	0.2	0.95	-90442605.0922
1109	10	0.25	0.95	-90443331.8696
1119	10	0.3	0.95	-90444059.1651
1129	10	0.35	0.95	-90444781.673
1139	10	0.4	0.95	-90445490.253
1149	10	0.45	0.95	-90446185.9415
1159	10	0.5	0.95	-90446869.6739
1169	10	0.55	0.95	-90447543.8272
1179	10	0.6	0.95	-90448212.0976
1189	10	0.65	0.95	-90448876.1703
1199	10	0.7	0.95	-90449536.8158
1209	10	0.75	0.95	-90450194.264
1219	10	0.8	0.95	-90450848.6742
1229	10	0.85	0.95	-90451500.1623
1239	10	0.9	0.95	-90452148.8296
310	6	0.1	0.05	-90495763.0816
300	6	0.05	0.05	-90495813.5969
320	6	0.15	0.05	-90495927.1698
330	6	0.2	0.05	-90496177.389
340	6	0.25	0.05	-90496459.3792
350	6	0.3	0.05	-90496753.2845
360	6	0.35	0.05	-90497059.5922
370	6	0.4	0.05	-90497371.2317
380	6	0.45	0.05	-90497686.9416
390	6	0.5	0.05	-90497997.6038
301	6	0.05	0.1	-90510774.4093
311	6	0.1	0.1	-90510774.9087
321	6	0.15	0.1	-90511006.4198
331	6	0.2	0.1	-90511281.5868
341	6	0.25	0.1	-90511606.5422
351	6	0.3	0.1	-90511925.5477
361	6	0.35	0.1	-90512254.8018
371	6	0.4	0.1	-90512585.3262
381	6	0.45	0.1	-90512921.5364
391	6	0.5	0.1	-90513255.1139
302	6	0.05	0.15	-90536087.555
312	6	0.1	0.15	-90536094.2191
322	6	0.15	0.15	-90536297.1098
332	6	0.2	0.15	-90536575.2502
342	6	0.25	0.15	-90536888.4389
352	6	0.3	0.15	-90537205.1648
362	6	0.35	0.15	-90537534.5885
372	6	0.4	0.15	-90537868.0281
382	6	0.45	0.15	-90538205.3281
392	6	0.5	0.15	-90538544.6124
303	6	0.05	0.2	-90566344.5706
313	6	0.1	0.2	-90566361.0205
323	6	0.15	0.2	-90566580.7582
333	6	0.2	0.2	-90566869.0431
343	6	0.25	0.2	-90567191.7347
353	6	0.3	0.2	-90567519.213
363	6	0.35	0.2	-90567868.2331
373	6	0.4	0.2	-90568214.7592
383	6	0.45	0.2	-90568564.9528
393	6	0.5	0.2	-90568914.427
304	6	0.05	0.25	-90599861.4255
314	6	0.1	0.25	-90599878.3766
324	6	0.15	0.25	-90600098.2671
334	6	0.2	0.25	-90600394.5283
344	6	0.25	0.25	-90600722.9847
354	6	0.3	0.25	-90601055.4507
364	6	0.35	0.25	-90601407.3417
374	6	0.4	0.25	-90601759.6067
384	6	0.45	0.25	-90602113.8489
394	6	0.5	0.25	-90602467.2712
305	6	0.05	0.3	-90634627.6635
315	6	0.1	0.3	-90634645.7095
325	6	0.15	0.3	-90634874.0793
335	6	0.2	0.3	-90635168.1224
345	6	0.25	0.3	-90635503.404
355	6	0.3	0.3	-90635841.142
365	6	0.35	0.3	-90636196.9179
375	6	0.4	0.3	-90636554.6438
385	6	0.45	0.3	-90636913.5986
395	6	0.5	0.3	-90637271.8486
306	6	0.05	0.35	-90670112.2999
316	6	0.1	0.35	-90670135.4694
326	6	0.15	0.35	-90670370.0197
336	6	0.2	0.35	-90670669.1344
346	6	0.25	0.35	-90671011.22
356	6	0.3	0.35	-90671355.4038
366	6	0.35	0.35	-90671714.6574
376	6	0.4	0.35	-90672077.2069
386	6	0.45	0.35	-90672441.0394
396	6	0.5	0.35	-90672804.2142
307	6	0.05	0.4	-90706087.0623
317	6	0.1	0.4	-90706120.0139
327	6	0.15	0.4	-90706356.4262
337	6	0.2	0.4	-90706663.8604
347	6	0.25	0.4	-90707007.4275
357	6	0.3	0.4	-90707355.9232
367	6	0.35	0.4	-90707720.3654
377	6	0.4	0.4	-90708086.8568
387	6	0.45	0.4	-90708454.9765
397	6	0.5	0.4	-90708822.6945
308	6	0.05	0.45	-90742371.8429
318	6	0.1	0.45	-90742413.8412
328	6	0.15	0.45	-90742650.5944
338	6	0.2	0.45	-90742965.8323
348	6	0.25	0.45	-90743310.3972
358	6	0.3	0.45	-90743663.67
368	6	0.35	0.45	-90744032.5701
378	6	0.4	0.45	-90744402.8291
388	6	0.45	0.45	-90744774.8909
398	6	0.5	0.45	-90745146.7064
309	6	0.05	0.5	-90778819.9466
319	6	0.1	0.5	-90778870.0639
329	6	0.15	0.5	-90779115.6287
339	6	0.2	0.5	-90779436.4968
349	6	0.25	0.5	-90779782.3288
359	6	0.3	0.5	-90780139.5661
369	6	0.35	0.5	-90780511.4647
379	6	0.4	0.5	-90780885.6393
389	6	0.45	0.5	-90781261.4961
399	6	0.5	0.5	-90781637.0835
210	5	0.1	0.05	-91219695.4008
220	5	0.15	0.05	-91219710.0202
230	5	0.2	0.05	-91219800.1588
200	5	0.05	0.05	-91219889.1864
240	5	0.25	0.05	-91219903.5914
250	5	0.3	0.05	-91220032.6158
260	5	0.35	0.05	-91220174.8919
270	5	0.4	0.05	-91220321.3853
280	5	0.45	0.05	-91220479.0137
290	5	0.5	0.05	-91220635.1816
211	5	0.1	0.1	-91226706.2784
221	5	0.15	0.1	-91226744.0453
231	5	0.2	0.1	-91226852.8312
201	5	0.05	0.1	-91226855.5276
241	5	0.25	0.1	-91226987.5676
251	5	0.3	0.1	-91227133.5105
261	5	0.35	0.1	-91227294.6366
271	5	0.4	0.1	-91227458.0233
281	5	0.45	0.1	-91227626.3578
291	5	0.5	0.1	-91227797.7251
212	5	0.1	0.15	-91241958.9124
222	5	0.15	0.15	-91241999.3996
202	5	0.05	0.15	-91242106.1004
232	5	0.2	0.15	-91242108.6768
242	5	0.25	0.15	-91242252.3138
252	5	0.3	0.15	-91242409.77
262	5	0.35	0.15	-91242571.7619
272	5	0.4	0.15	-91242736.8189
282	5	0.45	0.15	-91242904.6368
292	5	0.5	0.15	-91243075.171
213	5	0.1	0.2	-91268536.5159
223	5	0.15	0.2	-91268582.4797
203	5	0.05	0.2	-91268672.8954
233	5	0.2	0.2	-91268695.9201
243	5	0.25	0.2	-91268843.307
253	5	0.3	0.2	-91269001.9281
263	5	0.35	0.2	-91269167.2849
273	5	0.4	0.2	-91269335.5298
283	5	0.45	0.2	-91269506.8425
293	5	0.5	0.2	-91269680.3365
214	5	0.1	0.25	-91297238.9688
224	5	0.15	0.25	-91297292.0226
204	5	0.05	0.25	-91297375.5111
234	5	0.2	0.25	-91297409.4365
244	5	0.25	0.25	-91297558.3139
254	5	0.3	0.25	-91297723.8134
264	5	0.35	0.25	-91297893.3081
274	5	0.4	0.25	-91298065.747
284	5	0.45	0.25	-91298240.3305
294	5	0.5	0.25	-91298416.8765
215	5	0.1	0.3	-91327624.465
225	5	0.15	0.3	-91327678.0404
205	5	0.05	0.3	-91327756.5111
235	5	0.2	0.3	-91327801.7275
245	5	0.25	0.3	-91327952.4834
255	5	0.3	0.3	-91328120.606
265	5	0.35	0.3	-91328292.2507
275	5	0.4	0.3	-91328467.7418
285	5	0.45	0.3	-91328644.8398
295	5	0.5	0.3	-91328823.6764
216	5	0.1	0.35	-91358415.9074
226	5	0.15	0.35	-91358470.956
206	5	0.05	0.35	-91358546.3417
