time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
2013-02-10,100.262481689,214.944610596,-3.6,25.2264537811,3.8,0.0,0.0
2013-02-11,31.2606368065,279.887969971,0.25,41.8616256714,3.3,0.0051,0.0
2013-02-12,71.0495910645,287.21572876,4.45,22.8350601196,6.8,0.0,0.0
2013-02-13,99.5303230286,255.375518799,2.25,23.9002819061,3.2,0.0,0.0
2013-02-14,118.58795929,255.836044312,2.8,32.0041770935,3.9,0.0,0.0
2013-02-15,107.778488159,261.843505859,3.6,30.0653915405,4.5,0.0,0.0
2013-02-16,61.1851463318,283.581115723,1.65,46.0919494629,3.8,0.0003,0.003
2013-02-17,43.1039915085,264.703826904,-3.9,47.5709381104,9.6,0.0051,0.13
2013-02-18,129.30172348,210.268951416,-4.15,32.4515533447,8.9,0.0,0.0
2013-02-19,74.4273777008,250.382232666,1.95,45.1013298035,4.3,0.0114,0.0
2013-02-20,83.4057025909,280.271850586,1.65,31.4051322937,7.6,0.0003,0.0
2013-02-21,126.307632446,227.301193237,-1.65,30.9956760406,7.9,0.0,0.0
2013-02-22,108.736179352,234.034866333,0.0,30.5868644714,4.2,0.0,0.0
2013-02-23,41.3339920044,282.539642334,1.65,40.1116714478,2.8,0.0058,0.0
2013-02-24,37.0397648811,298.8125,0.8,43.9587898254,5.9,0.0208,0.046
2013-02-25,71.391992569,284.29675293,1.4,36.1506614685,3.2,0.0003,0.005
2013-02-26,75.0363273621,284.716003418,1.65,31.0004386902,3.0,0.0,0.0
2013-02-27,39.9835567474,298.829193115,3.85,52.0831756592,8.9,0.0348,0.0
2013-02-28,81.2174654007,293.003204346,3.65,31.5118656158,2.7,0.0,0.0
2013-03-01,69.8050460815,284.4871521,3.05,37.5507926941,4.2,0.0,0.0
2013-03-02,74.6388931274,291.564697266,3.35,29.4283027649,4.0,0.0,0.0
2013-03-03,95.19581604,282.794525146,3.35,33.1860618591,4.0,0.0,0.0
2013-03-04,105.321424484,267.281463623,2.2,43.6282691956,7.8,0.0,0.0
2013-03-05,102.097663879,273.76461792,3.05,36.7260093689,4.6,0.0,0.0
2013-03-06,54.3101539612,287.001708984,3.35,34.1843147278,10.2,0.0013,0.0
2013-03-07,64.0797519684,288.421691895,0.85,55.1890945435,10.6,0.0117,0.066
2013-03-08,37.6586923599,288.333129883,1.7,58.6737213135,8.2,0.0239,0.267
2013-03-09,152.149707794,244.599853516,1.35,31.4452037811,4.9,0.0,0.0
2013-03-10,130.944065094,258.006713867,0.3,29.9026966095,3.5,0.0,0.0
2013-03-11,101.855718613,301.036437988,5.85,54.1483306885,4.4,0.0,0.0
2013-03-12,35.5926408768,317.329742432,7.8,66.7979354858,5.2,0.0074,0.0
2013-03-13,171.720466614,267.417877197,7.25,31.0593490601,5.6,0.0,0.0
2013-03-14,108.580265045,249.620819092,-0.55,31.6923828125,7.5,0.0,0.0
2013-03-15,152.866947174,231.671783447,-0.55,32.7218399048,6.8,0.0,0.0
2013-03-16,134.785545349,244.823120117,1.65,37.450717926,3.7,0.0,0.0
2013-03-17,172.485866547,227.84979248,-0.3,29.0722141266,5.1,0.0,0.0
2013-03-18,149.388212204,223.561843872,-2.75,29.1733226776,4.6,0.003,0.023
2013-03-19,44.3624763489,290.13104248,0.0,58.2749900818,9.9,0.0343,0.16
2013-03-20,127.516723633,263.406951904,0.3,22.0090446472,6.4,0.0,0.0
2013-03-21,119.145284653,252.850646973,0.3,29.2572498322,2.5,0.0005,0.008
2013-03-22,143.764591217,254.573471069,1.35,37.8479385376,5.5,0.0,0.0
2013-03-23,152.215042114,245.603652954,2.8,27.5760440826,7.4,0.0,0.0
2013-03-24,180.18359375,246.750579834,4.75,33.4143829346,4.5,0.0,0.0
2013-03-25,106.103282928,270.201599121,3.65,42.9738311768,6.2,0.0,0.0
2013-03-26,145.17401123,281.206237793,5.55,25.4701766968,4.7,0.0013,0.0
2013-03-27,168.800632477,253.554229736,7.5,27.1322650909,5.4,0.0,0.0
2013-03-28,104.010753632,291.022674561,6.1,42.7887268066,3.8,0.0,0.0
2013-03-29,144.306419373,284.902435303,8.85,35.2641067505,3.9,0.0003,0.0
2013-03-30,204.97549057,261.953460693,8.3,34.0370025635,3.6,0.0,0.0
2013-03-31,152.921195984,260.43572998,8.05,32.6658325195,4.4,0.0008,0.0
2013-04-01,152.553899765,295.214324951,9.2,47.2687339783,6.5,0.003,0.0
2013-04-02,191.02097702,235.675689697,2.55,19.834815979,7.6,0.0,0.0
2013-04-03,244.470180511,216.73286438,3.9,18.4515972137,8.5,0.0,0.0
2013-04-04,247.813903809,225.010772705,6.65,21.4490661621,6.1,0.0,0.0
2013-04-05,204.014104843,267.688232422,8.6,43.8557777405,5.7,0.0,0.0
2013-04-06,250.459209442,223.623565674,4.45,19.2619152069,5.4,0.0,0.0
2013-04-07,181.027692795,267.333770752,6.1,46.3423995972,7.1,0.0,0.0
2013-04-08,227.375431061,282.614929199,12.5,34.1082305908,4.4,0.0,0.0
2013-04-09,200.121442795,318.613098145,15.0,38.3051795959,3.9,0.0015,0.0
2013-04-10,138.497795105,339.667327881,9.7,47.2704315186,2.7,0.0048,0.0
2013-04-11,100.481521606,339.329467773,7.5,58.5351333618,3.1,0.001,0.0
2013-04-12,37.3799099922,314.635009766,4.7,68.6831207275,8.5,0.0089,0.0
2013-04-13,142.162334442,309.876739502,6.4,32.6192131042,4.0,0.0005,0.0
2013-04-14,147.404129028,305.424163818,9.2,28.8474216461,4.7,0.0,0.0
2013-04-15,210.972751617,267.192108154,6.35,46.1236686707,4.7,0.0,0.0
2013-04-16,206.518978119,294.621398926,10.85,43.0469970703,6.7,0.0,0.0
2013-04-17,262.309127808,302.642913818,13.6,42.9115982056,4.3,0.0,0.0
2013-04-18,207.423948288,291.858886719,12.2,26.0217380524,6.1,0.0,0.0
2013-04-19,120.612783432,361.960205078,17.8,35.7194328308,8.0,0.0013,0.0
2013-04-20,152.522109985,327.159057617,12.5,53.7912368774,6.7,0.0097,0.0
2013-04-21,283.916385651,238.393295288,6.4,18.7545032501,4.8,0.0,0.0
2013-04-22,258.627418518,250.309661865,5.8,29.1578788757,6.2,0.0,0.0
2013-04-23,45.9441914558,293.920532227,5.55,39.6514015198,7.6,0.0033,0.0
2013-04-24,250.199337006,303.925567627,13.35,37.2549171448,6.5,0.0,0.0
