Is this a test run?  False
Is this a full build?  True
5198 metadata files located
No previous metadata detected. Downloading metadata
Downloading began at  Fri May  6 13:35:37 2016
2016-05-06 13:35:39 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003/2009/130/OMI-Aura_L2-OMMYDCLD_2009m0510t1624-o25636_v003-2015m0120t103400.he5.xml [2527] -> "OMI-Aura_L2-OMMYDCLD_2009m0510t1624-o25636_v003-2015m0120t103400.he5.xml" [1]
2016-05-06 13:35:39 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2005/075/OMI-Aura_L2-OMMYDCLD_2005m0316t1553-o03559_v003-2014m1215t104219.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2005m0316t1553-o03559_v003-2014m1215t104219.he5.xml" [1]
2016-05-06 13:35:39 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2013/083/OMI-Aura_L2-OMMYDCLD_2013m0324t2035-o46230_v003-2015m0221t044710.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2013m0324t2035-o46230_v003-2015m0221t044710.he5.xml" [1]
2016-05-06 13:35:39 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2010/237/OMI-Aura_L2-OMMYDCLD_2010m0825t1707-o32510_v003-2015m0201t075705.he5.xml [2527] -> "OMI-Aura_L2-OMMYDCLD_2010m0825t1707-o32510_v003-2015m0201t075705.he5.xml" [1]
2016-05-06 13:35:39 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2011/205/OMI-Aura_L2-OMMYDCLD_2011m0724t1638-o37359_v003-2015m0208t172827.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2011m0724t1638-o37359_v003-2015m0208t172827.he5.xml" [1]
2016-05-06 13:35:39 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2005/358/OMI-Aura_L2-OMMYDCLD_2005m1224t1707-o07681_v003-2014m1219t114820.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2005m1224t1707-o07681_v003-2014m1219t114820.he5.xml" [1]
2016-05-06 13:35:39 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2007/189/OMI-Aura_L2-OMMYDCLD_2007m0708t1628-o15850_v003-2015m0105t144419.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2007m0708t1628-o15850_v003-2015m0105t144419.he5.xml" [1]
2016-05-06 13:35:39 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2005/249/OMI-Aura_L2-OMMYDCLD_2005m0906t1746-o06094_v003-2014m1217t201448.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2005m0906t1746-o06094_v003-2014m1217t201448.he5.xml" [1]
2016-05-06 13:35:39 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003/2004/295/OMI-Aura_L2-OMMYDCLD_2004m1021t1743-o01434_v003-2014m1211t003655.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2004m1021t1743-o01434_v003-2014m1211t003655.he5.xml" [1]
2016-05-06 13:35:39 URL: ftp://aurapar2u.ecs.nasa.gov/data/s4pa///Aura_OMI_Level2/OMMYDCLD.003//2012/237/OMI-Aura_L2-OMMYDCLD_2012m0824t1744-o43141_v003-2015m0217t131257.he5.xml [2528] -> "OMI-Aura_L2-OMMYDCLD_2012m0824t1744-o43141_v003-2015m0217t131257.he5.xml" [1]
