,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2012-07-14,2.92760296369,5.02565586605,6.41550255627,9.03198835749,12.1122843726,12.7301703386,11.3809128287,8.19435810178,5.06128375714,3.66288354509,3.25577626163,3.54889632709,3.96123732038,4.09396053722,3.84619637317,4.06851690245,4.55905067859,5.66139027505,10.3173651433,21.5964102749,49.7378344113,83.7062794342,130.832835313
2012-07-15,1.66468965287,5.11763136452,6.71069239524,9.35886065495,12.3161462913,12.815328055,11.4514245546,8.2464456233,5.09009644987,3.68235867913,3.27623926241,3.58116117799,4.00344053179,4.13836135805,3.87853263929,4.10792652928,4.60727843558,5.71447181514,10.402103195,21.7210912854,50.0303552602,84.1471932335,131.70467847
2012-07-16,2.68081396522,5.26368267273,7.02553006574,9.6887119908,12.5187559995,12.8997590268,11.5215507371,8.29855556983,5.11901048084,3.70197634081,3.29700437075,3.61407667425,4.04649354158,4.18364406297,3.91140804903,4.14803129821,4.65632714671,5.76823425024,10.4871018315,21.8455189284,50.3229215026,84.5878031842,132.577674878
2012-07-17,2.36099834323,5.46062028167,7.35714519269,10.0196050235,12.7213462174,12.9844147819,11.5918480054,8.35052930841,5.1475869234,3.72142111433,3.31788353316,3.6476470681,4.09045780243,4.22991363804,3.94472956394,4.18881171557,4.70619725478,5.82251110362,10.5721332808,21.9693947234,50.6156064304,85.0277128188,133.453175632
2012-07-18,2.50506808879,5.70383413045,7.70440587736,10.3517486279,12.920122479,13.0657625578,11.6599742898,8.40310321573,5.17789975867,3.74217517816,3.33976233099,3.68189149039,4.13507656781,4.27671398546,3.978930998,4.23037194795,4.75689352155,5.87804904792,10.6581425313,22.0941506177,50.9080760935,85.468794119,134.324689077
2012-07-19,2.27052527102,5.98500572244,8.06328165797,10.6823333243,13.1192163949,13.1474674263,11.7282815978,8.45555411773,5.20796999618,3.76284666339,3.36181838571,3.71680439983,4.1805938887,4.32447239486,4.01361458921,4.27262075872,4.80841205252,5.93415576998,10.7442327988,22.2185076382,51.2006398289,85.9093603399,135.198034697
2012-07-20,4.31742067538,5.26330573278,7.70656022085,11.0196208269,13.147306691,13.0942895185,11.6982269171,8.53574354811,5.32526006589,3.84899203684,3.42346811615,3.75307909563,4.21438615425,4.35224359608,4.06922375261,4.32028218688,4.86087527476,6.0262547446,10.8752819889,22.4110954034,51.4777778537,86.4395633814,135.76582406
2012-07-21,5.58398579329,5.5277428405,6.73823252306,11.2015998838,13.206323168,13.0640911791,11.6724089939,8.61169583734,5.44040008304,3.93921138545,3.48719893324,3.79124147833,4.24701127989,4.38161107434,4.12554224042,4.36903436743,4.91517015331,6.12180670924,11.0111081661,22.6110957868,51.754971914,86.9773851887,136.30187011
2012-07-22,5.37633363339,5.39799790792,5.73911937036,10.3073330227,13.3401816868,13.1212922142,11.7192403504,8.6693387366,5.4918631209,3.9796818093,3.52206408446,3.82873829947,4.29036276048,4.42607605331,4.16785486841,4.41494861394,4.96955965413,6.19118791027,11.1126122045,22.758754624,52.0435061626,87.4471246283,137.073150068
2012-07-23,4.74819730375,4.77475401666,5.69004070028,10.6418087783,13.5015659738,13.1981364913,11.7833960033,8.72403807953,5.52857664059,4.00627222296,3.54836131321,3.86618800385,4.33781339973,4.4756822017,4.20625250316,4.46037644088,5.0243263964,6.25215317278,11.2018888769,22.8869676947,52.3353595141,87.8926044299,137.929352736
2012-07-24,3.98493807948,5.41916164538,5.70161322373,10.9828496325,13.6670038097,13.2782744291,11.8505082928,8.77808503539,5.56265830368,4.03072478891,3.5736370189,3.90422341802,4.38661796744,4.52679082479,4.24456083713,4.50634125066,5.07984089353,6.3124943981,11.2896845055,23.0124759749,52.6277471656,88.3346261093,138.797672609
2012-07-25,3.296902253,4.40501033665,6.53995079972,11.322235021,13.8315911498,13.357615477,11.9168245249,8.83227139703,5.59753754225,4.05592653339,3.5996140058,3.94296510691,4.43616940892,4.57859685343,4.28361979163,4.55305733227,5.13615780482,6.3737766709,11.3780086544,23.1384363977,52.9200397481,88.7772541032,139.664037586
2012-07-26,2.4743430594,5.66445016466,6.35893904387,11.6584220992,13.9953026502,13.4360314391,11.9822083723,8.88664477072,5.63340569386,4.08202236097,3.62637761372,3.98241589817,4.48643945817,4.63105540489,4.3234735254,4.60053219653,5.19326832508,6.43604448902,11.4668943197,23.2649591409,53.2122079438,89.2206456191,140.527952376
2012-07-27,3.16506589678,4.90189855916,6.3127835824,11.9800163565,14.1543583735,13.5097228223,12.0430519549,8.94192158027,5.67375770706,4.11197826794,3.65574949114,4.02264913012,4.53678443545,4.68324405653,4.36506701429,4.64897974253,5.25116965963,6.50084669027,11.5582402636,23.3951756132,53.5035808687,89.6689530186,141.375580138
2012-07-28,3.18174097576,4.34992344332,6.35840524917,12.3063853853,14.3161631352,13.5861177287,12.1063378829,8.99664959364,5.71199609565,4.14041124581,3.68450752251,4.06353588833,4.58832034264,4.7367471516,4.40676934453,4.69802383711,5.30983806342,6.56545295138,11.6487019053,23.5237798925,53.7953401811,90.1151089975,142.23058952
