,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2013-03-10,18.8464080744,18.8463073254,18.8462839681,18.8462650584,18.846477333,18.8476452834,18.8560584511,18.8644834901,19.179512988,19.4404199957,19.6327566267,20.2240322813,24.1410584918,23.6292179212,5.01814753092,0.066128909614,0.00144874986781,1.93215554685e-05,8.22833304581e-07,3.87385561761e-06,4.69070368404e-05,5.09415473766e-05,4.82571579088e-05
2013-03-11,18.6900118262,18.6899014721,18.6898775429,18.6898623516,18.690061261,18.6900987029,18.6904080637,18.7133456243,18.7848623105,18.9767018171,19.6035334426,20.7224210734,24.5439167404,23.7769540392,4.94793446522,0.0598404048598,0.00133488391602,1.81445396561e-05,7.49039231058e-07,3.42179153656e-06,4.08342096435e-05,4.41048672915e-05,4.17010613798e-05
2013-03-12,18.5777468475,18.5776859755,18.5776270196,18.5776012293,18.5777975441,18.5778384347,18.5778254347,18.5778274364,18.5778251323,18.5778243576,18.5804847964,20.1000868977,24.9420245972,23.9222406929,4.87298012404,0.0540063298704,0.00122730981998,1.6969542581e-05,6.79464269529e-07,3.0105390122e-06,3.54347858428e-05,3.81367549882e-05,3.60280578919e-05
2013-03-13,18.1839770747,18.1838970116,18.1838502444,18.1838331677,18.1839871169,18.1840673372,18.184054191,18.1840571243,18.1840585489,18.1840391665,18.1839732575,18.1841029942,25.3582090246,24.0537905539,4.80577665111,0.0495217785455,0.00113504420058,1.58331547064e-05,6.13096307479e-07,2.62477049798e-06,3.07161359756e-05,3.2960350254e-05,3.11230666131e-05
2013-03-14,17.6462442816,17.6461624622,17.6461147487,17.6460973209,17.6462544859,17.6463362964,17.6463228806,17.6463258811,17.6463273283,17.6463075541,17.6462402923,17.6465357811,25.7483428264,24.1645459239,4.75406393197,0.0466411469121,0.00106797027672,1.49498537618e-05,5.55980894297e-07,2.28906859038e-06,2.65824327522e-05,2.84775907888e-05,2.68855947841e-05
2013-03-15,17.1640664603,17.1639834561,17.16393544,17.1639178121,17.164077615,17.1641594041,17.1641458449,17.1641489923,17.1641503471,17.1641303643,17.1640622748,17.1643700487,26.1196559374,24.2681769114,4.7045003403,0.0441667856053,0.00100550047877,1.41156544867e-05,5.0360784713e-07,1.99380016372e-06,2.29854282287e-05,2.46012222651e-05,2.32248923703e-05
2013-03-16,16.7827318203,16.7826549107,16.782611555,16.7826095942,16.7828340934,16.7828244137,16.7828135334,16.7828151169,16.7827849033,16.6105561064,16.4366425592,16.4356134694,21.478245284,24.3412051706,4.68375344862,0.0437161299491,0.000972351129595,1.36004184177e-05,4.60688461812e-07,1.73918092087e-06,1.98564860746e-05,2.125044856e-05,2.00628795825e-05
2013-03-17,16.5762584547,16.5761717538,16.5761179994,16.5760946074,16.5762628936,16.5762764066,15.8340608813,15.8338991779,15.8338709931,15.8334861086,15.8323102826,15.8664295383,26.7176816891,24.4209768112,4.65178440156,0.0425250883585,0.000935010246119,1.30671516729e-05,4.21025270819e-07,1.51585849088e-06,1.71475260199e-05,1.8355527548e-05,1.7331348808e-05
2013-03-18,16.1589123122,16.1587985035,16.1587770687,16.1587497252,16.1588377454,16.1589854307,15.8014432932,15.4441937619,15.4439781858,15.4435908462,15.441847924,15.4406943507,21.2641742254,24.526969396,4.58476869489,0.0393228001291,0.000871189196976,1.22523384472e-05,3.7977936479e-07,1.31679851003e-06,1.48114025237e-05,1.58553834242e-05,1.49714445817e-05
2013-03-19,15.845325186,15.8452108307,15.8451896114,15.8451621333,15.8452282225,15.4432469175,15.0526996123,15.0527557306,15.0526881873,15.0522355048,15.050355692,15.0492189294,21.2268145619,24.6284702849,4.51566309979,0.0363717583378,0.00081244944148,1.1487609728e-05,3.42555161124e-07,1.14355230949e-06,1.27913061891e-05,1.36956477612e-05,1.29328875368e-05
2013-03-20,15.4598088759,15.4584113865,15.451830229,15.3748506674,15.184933341,15.0055744336,14.7831085506,14.6713577058,14.6361859145,14.6451774543,14.6648856124,14.7073646955,21.0491469963,24.6674059557,4.51078154553,0.0370522135161,0.000845343614348,1.22650137846e-05,3.44073092179e-07,1.06070058271e-06,1.09260566103e-05,1.18146348062e-05,1.11780270836e-05
2013-03-21,14.861647995,14.8615625762,14.8615252482,14.8615067398,14.8615809233,14.8617577095,14.8621687614,14.8704468248,14.9505433972,15.0530252324,15.081674091,15.1864408548,21.1343452847,24.6806263027,4.52330320286,0.0385083137597,0.000899544260534,1.33582037591e-05,3.56941070015e-07,9.8767794039e-07,9.3172313247e-06,1.01885273169e-05,9.66198510511e-06
2013-03-22,14.3051388714,14.3050255027,14.3050072178,14.3050609266,14.3064040656,14.3450777675,14.4638503739,14.7203026546,15.1450612805,15.3640164753,15.4182310295,15.5296174466,21.4439676339,24.7807886804,4.44186700152,0.0349500196954,0.000834485841776,1.25875219781e-05,3.27189086107e-07,8.63480799981e-07,8.03309083942e-06,8.79867399225e-06,8.34702025282e-06
2013-03-23,13.9868965883,13.9867857885,13.9867649845,13.9867384772,13.9868551068,13.9888606314,14.0410450299,14.2251055857,14.7556478472,15.4675182517,15.6635219827,15.85622469,21.753320403,24.8772602277,4.35652092254,0.0316677243566,0.000772687049922,1.18206107269e-05,2.99061475957e-07,7.53881370564e-07,6.9271255394e-06,7.59858824748e-06,7.21094694794e-06
2013-03-24,13.7550056249,13.7549283129,13.7548842787,13.7548808583,13.7551082757,13.7550985611,13.7550876499,13.7551557132,13.7570513092,13.7916811106,13.7916381933,14.9352405738,21.6993149491,24.8897465165,4.34928589799,0.0321916084759,0.000795693153334,1.2456571762e-05,3.06350781348e-07,6.88542429379e-07,5.92132178555e-06,6.55379121451e-06,6.23213471817e-06
2013-03-25,13.2735078885,13.2734154073,13.27338165,13.2733624493,13.2734783718,13.2736078791,13.2735929921,13.2736008956,12.6914408019,12.691525888,12.6937268461,15.5649586825,22.0399634427,24.9346286818,4.31010232598,0.031250227123,0.000763275725026,1.19526629676e-05,2.84786450907e-07,5.9822124188e-07,5.10987139868e-06,5.66060905062e-06,5.38364711619e-06
2013-03-26,12.9185592601,12.9184685759,12.918419179,12.9182492651,12.9187753242,12.91877182,12.7524748902,12.5858951752,12.5857258263,12.5853128661,12.5838552155,12.6483676651,22.3544897608,24.9788247865,4.2666859971,0.0301930591423,0.000730717035193,1.1433601044e-05,2.64435038535e-07,5.19607594856e-07,4.40974184137e-06,4.88916908851e-06,4.65067263939e-06
2013-03-27,12.4476467868,12.4473332151,12.4470859523,12.4470059861,12.447393577,12.4477421668,12.4477065987,12.4477109556,12.448861435,12.4574621279,12.4951705901,12.7930895907,21.9050318557,25.0117939615,4.2238154153,0.0292229829775,0.000718957294925,1.14077252647e-05,2.60163285991e-07,4.64197451904e-07,3.78410248472e-06,4.21899352237e-06,4.01861457913e-06
2013-03-28,12.2450175232,12.2444415699,12.2442670844,12.2441916986,12.2445019752,12.2448876992,12.2449898939,12.245011657,12.2451285018,12.2543559477,12.3153832966,13.1223079847,21.9532312541,25.0753110372,4.1444273863,0.0269012747266,0.000675019264202,1.08280839599e-05,2.43066958253e-07,4.06868024695e-07,3.2594805722e-06,3.64277281224e-06,3.47182791747e-06
2013-03-29,11.7242301096,11.7236723924,11.7235900312,11.7234328095,11.7239369151,12.0647794476,12.4039868337,12.4040848619,12.4039946945,12.41382936,12.4813474139,13.3637154465,22.2549482599,25.137108289,4.06185205447,0.024739876283,0.000626635936919,1.00740515138e-05,2.21319124573e-07,3.52386746317e-07,2.81438321866e-06,3.14651996262e-06,2.99908224111e-06
2013-03-30,11.3853015387,11.3843260314,11.3837035325,11.3835887467,11.4333268206,11.8513921536,11.9661104055,12.5687564574,12.5702249226,12.5711174096,12.6231772618,13.6252942924,22.5507752975,25.2023533269,3.9671724976,0.0224346522461,0.000577530043441,9.29944655642e-06,2.0005914141e-07,3.04975302769e-07,2.43041684781e-06,2.71792129928e-06,2.59069464932e-06
2013-03-31,11.2667301851,11.1872095215,11.1042089681,11.1001853765,11.138081911,11.393907133,11.7457490435,12.1705644546,12.7409700587,12.7449183337,12.8086063311,13.9191750992,22.8291928628,25.2317468391,3.90445348379,0.021390708665,0.00054829499229,8.77431516003e-06,1.8470529033e-07,2.64592947325e-07,2.0977131014e-06,2.34754268162e-06,2.23796163155e-06
2013-04-01,11.1563350536,10.9302494717,10.9278234458,10.9297318856,10.9626514585,11.1706078553,11.3581833583,12.0242974374,12.8564413982,12.9252951872,13.0458723409,14.3643881464,22.9881051215,24.9610352475,4.17813041088,0.0327474841303,0.000712901177034,1.04357452523e-05,2.14739887225e-07,2.35401999389e-07,1.80103167999e-06,2.02623801238e-06,1.93362754869e-06
2013-04-02,10.9488251747,10.9478395942,10.9473077785,10.9473896369,10.9478130706,10.9541619876,11.2427675166,11.6712839588,12.7429164416,13.1045376722,13.2853985639,14.9570401365,23.0082558509,24.4447311879,4.72459851118,0.0659067199202,0.00141840340003,1.63330054439e-05,3.33322626135e-07,2.16346483555e-07,1.53616007216e-06,1.74720171323e-06,1.67107951719e-06
2013-04-03,10.8946927712,10.8942794408,10.8940221983,10.893968732,10.8942826017,10.8949451578,10.8975014092,11.6295000332,12.6553414675,13.2990269088,13.5224690759,15.2966086754,23.2098382603,24.4048577567,4.76248998829,0.0683306366794,0.00153479515129,1.7222599432e-05,3.46295355801e-07,1.90070946314e-07,1.32291742531e-06,1.50858553359e-06,1.44367109104e-06
2013-04-04,11.0633554849,11.0629481936,11.0625591611,11.0624129728,11.0637008649,11.0695294008,11.0841712428,11.1641804015,11.5513528514,12.6708133568,13.8298360664,15.4009624409,22.6419059277,24.358186043,4.79390333119,0.070116314404,0.00172712248991,1.97998667267e-05,4.06008931463e-07,1.76278398906e-07,1.12695418614e-06,1.29958952385e-06,1.24785060426e-06
2013-04-05,11.0613206953,11.0600959126,11.0599131927,11.0600455408,11.0611519133,11.0669288063,11.0845716038,11.2381883787,11.9348216536,12.7241899893,13.7555367141,15.4987218665,22.4355112706,24.3540677516,4.777379659,0.0681904229716,0.00177206952727,2.10569960374e-05,4.35073320346e-07,1.59460510229e-07,9.65136579689e-07,1.12058918501e-06,1.07831908457e-06
2013-04-06,11.0185698391,11.0179270918,11.016552339,11.0390933355,11.1508981022,11.1548936677,11.1691432031,11.3721859608,12.1124893513,12.9321157234,14.0187686077,15.823224697,22.6034942481,24.285982089,4.82474525297,0.0715367785306,0.0019309855875,2.31897196706e-05,4.72030416944e-07,1.41735993989e-07,8.30102568878e-07,9.67254982234e-07,9.31610242296e-07
2013-04-07,11.0969135672,11.0952884176,11.0943196931,11.0625802497,11.0901898376,11.1801533062,11.2651822139,11.3254052082,11.9911069397,13.1549846348,14.2720284043,16.1237544459,22.7887738588,24.2299094015,4.85954411979,0.0740057222409,0.00204641072866,2.48839234664e-05,4.9799651197e-07,1.25505842127e-07,7.14727439452e-07,8.35056450001e-07,8.04829752475e-07
2013-04-08,11.2360798139,11.2359655406,11.235718087,11.257728149,11.195533857,11.1577036787,11.2896871357,11.411932922,11.982568626,13.3789632634,14.5116848572,16.3892446854,22.9973092202,24.2185324659,4.84706444127,0.0726855679967,0.00202538452586,2.50523775845e-05,4.93418936372e-07,1.10119814777e-07,6.1637990533e-07,7.21130424864e-07,6.95264570946e-07
2013-04-09,11.4120426954,11.4104154189,11.4119805603,11.497736803,11.423458516,11.2804451729,11.3929149839,11.5717305766,11.9556582058,13.2995779123,14.7660759736,16.7028739248,23.1233368971,24.1632730137,4.87137446108,0.0745427829584,0.00215126211726,2.74087276346e-05,5.35757079269e-07,9.88539755026e-08,5.29961022572e-07,6.22378031699e-07,6.00678002808e-07
2013-04-10,11.5492660328,11.7530973582,11.7541641964,11.7478479789,11.594424663,11.5048220013,11.380759905,11.7305038002,12.1946967356,13.5151658829,15.004615482,16.9878405518,23.2977738813,24.045564012,4.96326766177,0.0825553715084,0.00236444944153,2.98261810121e-05,5.64649439464e-07,8.77618100558e-08,4.56685747114e-07,5.37395770184e-07,5.1891537026e-07
